_id,image,title,slug,filename,department,content,category,views,up_vote,down_vote,created_at,updated_at,username
6402e4357758a4aaa2992424,,Ideas test 3323321432,,,Department 1,,,0,0,0,2023-03-04 06:24:53 +0000 UTC,2023-03-04 06:24:53 +0000 UTC,
6402e4927758a4aaa2992426,,Ideas test 3323jfrkjefhkwjr321432,,,Department 1,,,0,0,0,2023-03-04 06:26:26 +0000 UTC,2023-03-04 06:26:26 +0000 UTC,
6402e4a47758a4aaa2992427,,Ideas test 332332143wqdewedwqdew2,,,Department 1,osdcjasodcsaodcsadewqej,,0,0,0,2023-03-04 06:26:44 +0000 UTC,2023-03-04 06:26:44 +0000 UTC,
6402e583bbf2367dd2d9f0c7,,Ideasdasds test 332332143wqdewedwqdew2,,,Department 1,osdcjasodcsaoádadafdcsadewqej,,0,0,0,2023-03-04 06:30:27 +0000 UTC,2023-03-04 06:30:27 +0000 UTC,
6402e5ecbbf2367dd2d9f0c8,,Testing,,,aaa-bb-cc,thoughs,,0,0,0,2023-03-04 06:32:12 +0000 UTC,2023-03-04 06:32:12 +0000 UTC,
6402e601bbf2367dd2d9f0c9,,Title,,,aaa-bb-cc,"thoughs
",,0,0,0,2023-03-04 06:32:33 +0000 UTC,2023-03-04 06:32:33 +0000 UTC,
6402e901a25a92829635f954,,testing123,,,Department 1,contents,,0,0,0,2023-03-04 06:45:21 +0000 UTC,2023-03-04 06:45:21 +0000 UTC,
6402e9a6a25a92829635f955,,TestArticle,,,Department 1,123,,0,0,0,2023-03-04 06:48:06 +0000 UTC,2023-03-04 06:48:06 +0000 UTC,
64058612ea14a65e3ac5c4c4,,1231311231,,,Department 1,1231313,,0,0,0,2023-03-06 06:20:02 +0000 UTC,2023-03-06 06:20:02 +0000 UTC,
64058a3eea14a65e3ac5c4c5,,332132,,,Department 1,123131,,0,0,0,2023-03-06 06:37:50 +0000 UTC,2023-03-06 06:37:50 +0000 UTC,
64058a60ea14a65e3ac5c4c6,,33233,,,Department 1,dadadad,NewCat,0,0,0,2023-03-06 06:38:24 +0000 UTC,2023-03-06 06:38:24 +0000 UTC,
6405a3477e82f2fe48312594,,TestingFinal,,,Department 1,1231231,News,0,0,0,2023-03-06 08:24:39 +0000 UTC,2023-03-06 08:24:39 +0000 UTC,
6405a3947e82f2fe48312596,,AnotherFinal,,,Department 1,Hêhe,ca,0,0,0,2023-03-06 08:25:56 +0000 UTC,2023-03-06 08:25:56 +0000 UTC,
6405a4117e82f2fe48312597,,AnotherFinalTest,,,Department 1,ádasdasdasdasdas,zxvzxc,0,0,0,2023-03-06 08:28:01 +0000 UTC,2023-03-06 08:28:01 +0000 UTC,
6405a4947e82f2fe48312598,,Testing141414,,,Department 1,New,Something,0,0,0,2023-03-06 08:30:12 +0000 UTC,2023-03-06 08:30:12 +0000 UTC,
6405a4d67e82f2fe48312599,,FinalIdea Minh Ngu vkl,,,Department 1,Minh Ngu vkl,332234,0,0,0,2023-03-06 08:31:18 +0000 UTC,2023-03-06 08:31:18 +0000 UTC,
6405a57f7e82f2fe4831259a,,Alert Test,,,Department 1,Hehee,Something,0,0,0,2023-03-06 08:34:07 +0000 UTC,2023-03-06 08:34:07 +0000 UTC,
6405a5f87e82f2fe4831259b,,Final Minh ngu,,,Department 1,Hehe minh ngu vkl,Something,0,0,0,2023-03-06 08:36:08 +0000 UTC,2023-03-06 08:36:08 +0000 UTC,
6405e736606b6d9c05b058bb,,Testers 1,,,Department 1,Tester 1,News,0,0,0,2023-03-06 13:14:30 +0000 UTC,2023-03-06 13:14:30 +0000 UTC,
640c27b70b88aac3d1c30f78,,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VybmFtZSI6ImFkbWluQGdtYWlsLmNvbSIsIkZpcnN0TmFtZSI6ImFkbWluIiwiTGFzdE5hbWUiOiJhZG1pbiIsIlVpZCI6IiIsIlJvbGUiOiJBZG1pbiIsImV4cCI6MTY3ODYwMjkxMn0.KFh2AOfBaZ1sNmgLYm5upKtu7jFPv9hLo9zGdgv5W_g,,,,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VybmFtZSI6ImFkbWluQGdtYWlsLmNvbSIsIkZpcnN0TmFtZSI6ImFkbWluIiwiTGFzdE5hbWUiOiJhZG1pbiIsIlVpZCI6IiIsIlJvbGUiOiJBZG1pbiIsImV4cCI6MTY3ODYwMjkxMn0.KFh2AOfBaZ1sNmgLYm5upKtu7jFPv9hLo9zGdgv5W_g,Category,0,0,0,2023-03-11 07:03:19 +0000 UTC,2023-03-11 07:03:19 +0000 UTC,
640c29390b88aac3d1c30f79,,1670 ASM2 Bui Quang Minh GCH200559,,,,dsfadadfasdfs,NewCat,0,0,0,2023-03-11 07:09:45 +0000 UTC,2023-03-11 07:09:45 +0000 UTC,
